ICAO;City;Airport name;Country;Latitude;Longtitude;Time Difference
OAHR;Herat;Herat Airport;Afghanistan;34.209999084472656;62.22829818725586;4.5
OAJL;Jalalabad;Jalalabad Airport;Afghanistan;34.39979934692383;70.49859619140625;4.5
OAKB;Kabul;Hamid Karzai International Airport;Afghanistan;34.565899;69.212303;4.5
OAKN;Kandahar;Kandahar Airport;Afghanistan;31.505800247192383;65.8478012084961;4.5
OAMN;Maimama;Maimana Airport;Afghanistan;35.93080139160156;64.76090240478516;4.5
OAMS;Mazar-i-sharif;Mazar I Sharif Airport;Afghanistan;36.70690155029297;67.20970153808594;4.5
OASD;Shindand;Shindand Airport;Afghanistan;33.3913002014;62.2610015869;4.5
OASG;Sheberghan;Sheberghan Airport;Afghanistan;36.75080108642578;65.91320037841797;4.5
OAUZ;Kunduz;Konduz Airport;Afghanistan;36.66510009765625;68.91079711914062;4.5
OAFZ;Faizabad;Fayzabad Airport;Afghanistan;37.121101;70.518097;4.5
OAIX;Kabul;Bagram Air Base;Afghanistan;34.9460983276;69.26499938959999;4.5
OATN;Tarin Kowt;Tarin Kowt Airport;Afghanistan;32.604198455799995;65.8657989502;4.5
OAZJ;Zaranj;Zaranj Airport;Afghanistan;30.972222;61.865833;4.5
OACC;Chaghcharan;Chakcharan Airport;Afghanistan;34.53300094604492;65.26699829101562;4.5
OAZI;Camp Bastion;Camp Bastion Airport;Afghanistan;31.863800048799998;64.2246017456;4.5
OAKS;Khost;Khost Airport;Afghanistan;33.3334007263;69.952003479;4.5
OASA;Sharona;Sharana Airstrip;Afghanistan;33.12575;68.838517;4.5
OASH;Shank;Shank Air Base;Afghanistan;33.9225;69.07722222219999;4.5
OABT;Lashkar Gah;Bost Airport;Afghanistan;31.55970001220703;64.36499786376953;4.5
OABN;Bamyan;Bamiyan Airport;Afghanistan;34.81700134277344;67.81700134277344;4.5
OAFR;Farah;Farah Airport;Afghanistan;32.367000579833984;62.18299865722656;4.3
OAGN;Ghazni;Ghazni Airport;Afghanistan;33.5312004089;68.412902832;4.5
LATI;Tirana;Tirana International Airport Mother Teresa;Albania;41.4146995544;19.7206001282;1
LAGJ;Gjadër;Gjadër Air Base;Albania;41.895199;19.5987;\N
LAKU;Kukës;Kukës Airport;Albania;42.033699035599994;20.4158992767;\N
LAKV;Kuçovë;Kuçovë Air Base;Albania;40.77190017700195;19.901899337768555;\N
LAVL;Vlorë;Vlorë Air Base;Albania;40.47610092163086;19.474199295043945;\N
DAAB;Blida;Blida Airport;Algeria;36.50360107421875;2.8141698837280273;1
DAAD;Bou Saada;Bou Saada Airport;Algeria;35.33250045776367;4.206389904022217;1
DAAE;Bejaja;Soummam Airport;Algeria;36.7120018005;5.0699200630200005;1
DAAG;Algier;Houari Boumediene Airport;Algeria;36.691001892089844;3.215409994125366;1
DAAJ;Djanet;Djanet Inedbirene Airport;Algeria;24.292801;9.45244;1
DAAK;Boufarik;Boufarik Airport;Algeria;36.545799;2.87611;1
DAAN;Reggan;Reggane Airport;Algeria;26.7101;0.285647;1
DAAP;Illizi;Illizi Takhamalt Airport;Algeria;26.7234992981;8.62265014648;1
DAAQ;Ain Oussera;Ain Oussera Airport;Algeria;35.52539825439453;2.8787100315093994;1
DAAT;Tamanrasset;Aguenar – Hadj Bey Akhamok Airport;Algeria;22.8115005493;5.45107984543;1
DAAV;Jijel;Jijel Ferhat Abbas Airport;Algeria;36.7951011658;5.87361001968;1
DAAY;Mecheria;Mecheria Airport;Algeria;33.535900116;-0.242353007197;1
DAAZ;Relizane;Relizane Airport;Algeria;35.752201;0.626272;1
DABB;Annaba;Rabah Bitat Airport;Algeria;36.822201;7.809174;1
DABC;Constantine;Mohamed Boudiaf International Airport;Algeria;36.2760009765625;6.620389938354492;1
DABS;Tebessa;Cheikh Larbi Tébessi Airport;Algeria;35.4315986633;8.12071990967;1
DAFH;Tilrempt;Hassi R'Mel Airport;Algeria;32.93040084838867;3.311539888381958;1
DAOB;Tiaret;Bou Chekif Airport;Algeria;35.3410987854;1.46315002441;1
DAOE;Bou Sfer;Bou Sfer Airport;Algeria;35.73540115356445;-0.8053889870643616;1
DAOF;Tindouf;Tindouf Airport;Algeria;27.7003993988;-8.167099952700001;1
DAOI;Ech-cheliff;Ech Cheliff Airport;Algeria;36.2126998901;1.33176994324;1
DAOL;Oran;Tafaraoui Airport;Algeria;35.54240036010742;-0.5322780013084412;1
DAON;Tlemcen;Zenata – Messali El Hadj Airport;Algeria;35.0167007446;-1.45000004768;1
DAOO;Oran;Es Senia Airport;Algeria;35.6239013672;-0.6211829781529999;1
DAOS;Sidi Bel Abbes;Sidi Bel Abbes Airport;Algeria;35.1717987061;-0.593275010586;1
DAOV;Ghriss;Ghriss Airport;Algeria;35.207698822021484;0.14714199304580688;1
DAUA;Adrar;Touat Cheikh Sidi Mohamed Belkebir Airport;Algeria;27.837600708007812;-0.18641400337219238;1
DAUB;Biskra;Biskra Airport;Algeria;34.793300628699996;5.73823022842;1
DAUE;El Golea;El Golea Airport;Algeria;30.571300506591797;2.8595900535583496;1
DAUG;Ghardaia;Noumérat - Moufdi Zakaria Airport;Algeria;32.38410186767578;3.794110059738159;1
DAUH;Hassi Messaoud;Oued Irara Airport;Algeria;31.673000335699996;6.140439987180001;1
DAUI;In Salah;In Salah Airport;Algeria;27.250999450699997;2.51202011108;1
DAUK;Touggourt;Touggourt Sidi Madhi Airport;Algeria;33.06779861450195;6.088669776916504;1
DAUL;Laghouat;Laghouat Airport;Algeria;33.764400482199996;2.92833995819;1
DAUT;Timimoun;Timimoun Airport;Algeria;29.2371006012;0.276033014059;1
DAUU;Ouargla;Ain el Beida Airport;Algeria;31.917200088500977;5.412779808044434;1
DAUZ;Zarzaitine;In Aménas Airport;Algeria;28.0515;9.64291;1
DABT;Batna;Batna Airport;Algeria;35.752101898199996;6.308589935300001;1
DAOR;Béchar;Béchar Boudghene Ben Ali Lotfi Airport;Algeria;31.645700454711914;-2.269860029220581;1
DATM;Bordj Badji Mokhtar;Bordj Badji Mokhtar Airport;Algeria;21.375;0.923888981342;1
DAUO;Guemar;Guemar Airport;Algeria;33.5113983154;6.77679014206;1
DAAS;Setif;Ain Arnat Airport;Algeria;36.178100585900005;5.3244900703399995;1
DAFI;Djelfa;Tsletsi Airport;Algeria;34.6657;3.351;1
DAOY;El Bayadh;El Bayadh Airport;Algeria;33.721666666699996;1.0925;1
NSTU;Pago Pago;Pago Pago International Airport;American Samoa;-14.3310003281;-170.710006714;-11
NSFQ;Fiti\'uta;Fitiuta Airport;American Samoa;-14.2172;-169.425003;-11
FNBC;M'banza-congo;Mbanza Congo Airport;Angola;-6.269899845123291;14.246999740600586;1
FNBG;Benguela;Benguela Airport;Angola;-12.609000206;13.4036998749;1
FNCA;Cabinda;Cabinda Airport;Angola;-5.59699010848999;12.188400268554688;1
FNHU;Huambo;Nova Lisboa Airport;Angola;-12.808899879455566;15.760499954223633;1
FNKU;Kuito;Kuito Airport;Angola;-12.404600143433;16.947399139404;1
FNLB;Lobito;Lobito Airport;Angola;-12.371199607849121;13.536600112915039;1
FNLU;Luanda;Quatro de Fevereiro Airport;Angola;-8.85837;13.2312;1
FNMA;Malanje;Malanje Airport;Angola;-9.525090217590332;16.312400817871094;1
FNME;Menongue;Menongue Airport;Angola;-14.657600402832031;17.71980094909668;1
FNNG;Negage;Negage Airport;Angola;-7.754509925842285;15.287699699401855;1
FNPA;Porto Amboim;Porto Amboim Airport;Angola;-10.722000122070312;13.76550006866455;1
FNSA;Saurimo;Saurimo Airport;Angola;-9.689069747924805;20.431900024414062;1
FNSO;Soyo;Soyo Airport;Angola;-6.141089916229248;12.371800422668457;1
FNUB;Lubango;Lubango Airport;Angola;-14.924699783325195;13.574999809265137;1
FNUE;Luena;Luena Airport;Angola;-11.768099784851074;19.8976993560791;1
FNUG;Uige;Uige Airport;Angola;-7.60306978225708;15.027799606323242;1
FNXA;Xangongo;Xangongo Airport;Angola;-16.755399703979492;14.965299606323242;1
FNCT;Catumbela;Catumbela Airport;Angola;-12.4792;13.4869;1
FNDU;Dundo;Dundo Airport;Angola;-7.400889873504639;20.818500518798828;1
FNGI;Ondjiva;Ngjiva Pereira Airport;Angola;-17.0435009003;15.683799743700002;1
FNMO;Mocamedes;Namibe Airport;Angola;-15.261199951171875;12.14680004119873;1
FNZG;Nzagi;Nzagi Airport;Angola;-7.716939926149999;21.358200073200003;1
FNLK;Lucapa;Lucapa Airport;Angola;-8.445727348330001;20.7320861816;1
FNCP;Kapanda;Capanda Airport;Angola;-9.76937007904;15.4553194046;1
FNSU;Sumbe;Sumbe Airport;Angola;-11.167900085449219;13.84749984741211;\N
TQPF;The Valley;Clayton J Lloyd International Airport;Anguilla;18.2048;-63.055099;-4
NZSP;Stephen's Island;South Pole Station Airport;Antarctica;-90;0;12
NZWD;Weydon;Williams Field;Antarctica;-77.86740112304688;167.0570068359375;12
SAWB;Marambio Base;Marambio Base;Antarctica;-64.2382965088;-56.6307983398;12
SCRM;Isla Rey Jorge;Teniente Rodolfo Marsh Martin Base;Antarctica;-62.1907997131;-58.9866981506;12
YWKS;Budd Coast;Wilkins Runway;Antarctica;-66.690833;111.523611;12
NZIR;Ross Island;McMurdo Station Ice Runway;Antarctica;-77.85399627685547;166.468994140625;12
NZPG;McMurdo Station;McMurdo Station Pegasus Field;Antarctica;-77.9634017944336;166.52499389648438;12
TAPA;Antigua;V.C. Bird International Airport;Antigua and Barbuda;17.1367;-61.792702;-4
TAPH;Codrington;Codrington Airport;Antigua and Barbuda;17.635799;-61.828602;-4
SAAC;Concordia;Comodoro Pierrestegui Airport;Argentina;-31.2969;-57.9966;-3
SAAG;Gualeguaychu;Gualeguaychu Airport;Argentina;-33.0103;-58.6131;-3
SAAJ;Junin;Junin Airport;Argentina;-34.5459;-60.9306;-3
SAAP;Parana;General Urquiza Airport;Argentina;-31.7948;-60.4804;-3
SAAR;Rosario;Islas Malvinas Airport;Argentina;-32.9036;-60.785;-3
SAAV;Santa Fe;Sauce Viejo Airport;Argentina;-31.7117;-60.8117;-3
SABE;Buenos Aires;Jorge Newbery Airpark;Argentina;-34.5592;-58.4156;-3
SACO;Cordoba;Ingeniero Ambrosio Taravella Airport;Argentina;-31.323601;-64.208;-3
SACT;Gobernador Gordillo;Chamical Airport;Argentina;-30.34530067;-66.29360198;-3
SADF;San Fernando;San Fernando Airport;Argentina;-34.4532;-58.5896;-3
